id,provinsi,nama_provinsi,latitude,longitude
74,74,SULAWESI TENGGARA,"-3.5491200","121.7279600"
11,11,ACEH,"4.6951350",96.7493993
12,12,SUMATERA UTARA,"2.1923500","99.3812200"
13,13,SUMATERA BARAT,"-1.3422500","100.0761000"
14,14,RIAU,"0.5004100","101.5475800"
15,15,JAMBI,"-1.6115700","102.7797000"
16,16,SUMATERA SELATAN,"-3.1266800","104.0930600"
17,17,BENGKULU,"-3.5186800","102.5359800"
18,18,LAMPUNG,"-4.8555000","105.0273000"
19,19,KEPULAUAN BANGKA BELITUNG,"-2.7577500","107.5839400"
21,21,KEPULAUAN RIAU,"-0.1547800","104.5803700"
31,31,DKI JAKARTA,"-6.1745000","106.8227000"
32,32,JAWA BARAT,"-6.8891700","107.6404700"
33,33,JAWA TENGAH,"-7.3032400","110.0044100"
34,34,DAERAH ISTIMEWA YOGYAKARTA,"-7.7956000","110.3695000"
35,35,JAWA TIMUR,"-6.9685100","113.9800500"
36,36,BANTEN,"-6.4453800","106.1375600"
51,51,BALI,"-8.2356600","115.1223900"
52,52,NUSA TENGGARA BARAT,"-8.1217900","117.6369600"
53,53,NUSA TENGGARA TIMUR,"-8.5656800","120.6978600"
61,61,KALIMANTAN BARAT,"-0.1322400","111.0968900"
62,62,KALIMANTAN TENGAH,"-1.4995800","113.2903300"
63,63,KALIMANTAN SELATAN,"-2.9434800","115.3756500"
64,64,KALIMANTAN TIMUR,"0.7884400","116.2420000"
65,65,KALIMANTAN UTARA,"2.7259400","116.9110000"
71,71,SULAWESI UTARA,"0.6555700","124.0901500"
72,72,SULAWESI TENGAH,"-1.6937800","120.8088600"
73,73,SULAWESI SELATAN,"-3.6446700","119.9471900"
75,75,GORONTALO,"0.7186200","122.4555900"
76,76,SULAWESI BARAT,"-2.4974500","119.3919000"
81,81,MALUKU,"-3.1188400","129.4207800"
82,82,MALUKU UTARA,"0.6301200","127.9720200"
91,91,PAPUA,"-3.9885700","138.3485300"
92,92,PAPUA BARAT,"-1.3842400","132.9025300"
93,93,PAPUA SELATAN,-6.9468494,139.8978858
94,94,PAPUA TENGAH,"-4.3783380","136.3513970"
95,95,PAPUA PEGUNUNGAN,"-4.1073330",138.9194115
96,96,PAPUA BARAT DAYA,"-0.8807170",131.2388258