"id","nama_satker","kode_satker","id_satker","kode_provinsi","kode_wilayah","id_regencies","lat","long"
4,DEPUTI BIDANG PENCEGAHAN BNN,BNN4,4,PROV6,P,9,-6.245915414230083,"106.8712929530131"
22,BNNK KOTA SABANG,BNN24,24,PROV4,D,11,"5.8946929","95.3192982"
23,BNNK KOTA LHOKSEUMAWE,BNN21,21,PROV4,D,11,"5.1880556","97.1402778"
24,BNNK KOTA LANGSA,BNN20,20,PROV4,D,11,"4.48","97.9633333"
19,BNNK KAB ACEH SELATAN,BNN22,22,PROV4,D,11,"3.3115056","97.3516558"
18,BNNP ACEH,BNN224,224,PROV4,D,11,"4.695135","96.7493993"
28,BNNK KOTA BANDA ACEH,BNN27,27,PROV4,D,11,"5.55","95.3166667"
26,BNNK KAB ACEH TAMIANG,BNN25,25,PROV4,D,11,"4.2328871","98.0028892"
21,BNNK KAB PIDIE JAYA,BNN18,18,PROV4,D,11,"5.1548063","96.195132"
25,BNNK KAB BIREUEUN,BNN19,19,PROV4,D,11,"5.18254","96.89005"
20,BNNK KAB GAYO LUES,BNN23,23,PROV4,D,11,"3.955165","97.3516558"
27,BNNK KAB PIDIE,BNN26,26,PROV4,D,11,"5.0742659","95.940971"
42,BNNK KAB SIMALUNGUN,BNN43,43,PROV34,D,12,"2.9781612","99.2785583"
40,BNNK KAB SERDANG BEDAGAI,BNN33,33,PROV34,D,12,"3.3371694","99.0571089"
29,BNNP SUMATERA UTARA,BNN28,28,PROV34,D,12,"2.1153547","99.5450974"
44,BNNK KAB BATU BARA,BNN41,41,PROV34,D,12,"3.1740979","99.5006143"
30,BNNK KAB KARO,BNN36,36,PROV34,D,12,"3.1052909","98.265058"
31,BNNK KOTA BINJAI,BNN37,37,PROV34,D,12,"3.594462","98.482246"
33,BNNK KOTA GUNUNGSITOLI,BNN39,39,PROV34,D,12,"1.281964","97.61594"
34,BNNK KAB DELI SERDANG,BNN30,30,PROV34,D,12,"3.4201802","98.704075"
35,BNNK KOTA PEMATANGSIANTAR,BNN35,35,PROV34,D,12,"2.96","99.06"
36,BNNK KAB LANGKAT,BNN31,31,PROV34,D,12,"3.8653916","98.3088441"
37,BNNK KAB ASAHAN,BNN29,29,PROV34,D,12,"2.8174722","99.634135"
39,BNNK KAB TAPANULI SELATAN,BNN34,34,PROV34,D,12,"1.5774933","99.2785583"
41,BNNK KOTA TEBING TINGGI,BNN40,40,PROV34,D,12,"3.3856205","99.2009815"
43,BNNK KAB LABUHAN BATU UTARA,BNN42,42,PROV34,D,12,"2.3465638","99.8124935"
38,BNNK KAB MANDAILING NATAL,BNN32,32,PROV34,D,12,"0.7432372","99.3673084"
32,BNNK KOTA TANJUNG BALAI,BNN38,38,PROV34,D,12,"2.965122","99.800331"
46,BNNK KOTA SAWAH LUNTO,BNN46,46,PROV32,D,13,-0.6810286,"100.7763604"
49,BNNK KAB PASAMAN BARAT,BNN48,48,PROV32,D,13,"0.2213005","99.634135"
47,BNNK KOTA PAYAKUMBUH,BNN45,45,PROV32,D,13,-0.22887,"100.632301"
48,BNNK KAB SOLOK,BNN47,47,PROV32,D,13,-0.803027,"100.644402"
45,BNNP SUMATERA BARAT,BNN44,44,PROV32,D,13,-0.7399397,"100.8000051"
52,BNNK KAB PELALAWAN,BNN52,52,PROV26,D,14,"0.441415","102.088699"
51,BNNK KAB KUANTAN SINGINGI,BNN51,51,PROV26,D,14,-0.4411596,"101.5248055"
54,BNN DUMAI,BNN53,53,PROV26,D,14,"1.665742","101.447601"
53,BNNK KOTA PEKANBARU,BNN50,50,PROV26,D,14,"0.5333333","101.45"
50,BNNP RIAU,BNN49,49,PROV26,D,14,"0.2933469","101.7068294"
55,BNNP JAMBI,BNN54,54,PROV8,D,15,-1.4851831,"102.4380581"
58,BNNK KAB BATANG HARI,BNN55,55,PROV8,D,15,-1.7083922,"103.0817903"
56,BNNK KAB TANJUNG JABUNG TIMUR,BNN57,57,PROV8,D,15,-1.3291599,"103.89973"
57,BNNK KOTA JAMBI,BNN56,56,PROV8,D,15,-1.596672,"103.615799"
66,BNNK KAB MUSI RAWAS,BNN68,68,PROV33,D,16,-2.8625305,"102.989615"
59,BNNP SUMATERA SELATAN,BNN61,61,PROV33,D,16,-3.3194374,"103.914399"
60,BNNK KAB OGAN ILIR,BNN66,66,PROV33,D,16,-3.426544,"104.6121475"
61,BNNK KOTA PAGAR ALAM,BNN63,63,PROV33,D,16,-4.03767,"103.265297"
62,BNNK KOTA LUBUKLINGGAU,BNN64,64,PROV33,D,16,-3.2966667,"102.8616667"
64,BNNK KAB PRABUMULIH,BNN62,62,PROV33,D,16,-3.440956,"104.235397"
65,BNNK KAB MUARA ENIM,BNN67,67,PROV33,D,16,-3.651581,"103.770798"
67,BNNK KAB OGAN KOMERING ILIR,BNN69,69,PROV33,D,16,-3.4559744,"105.2194808"
68,BNNK KAB OGAN KOMERING ULU TIMUR,BNN70,70,PROV33,D,16,-3.8567934,"104.7520939"
63,BNNK KAB EMPAT LAWANG,BNN65,65,PROV33,D,16,-3.7286029,"102.8975098"
70,BNNK KOTA BENGKULU,BNN60,60,PROV3,D,17,-3.7955556,"102.2591667"
71,BNNK KAB BENGKULU SELATAN,BNN59,59,PROV3,D,17,-4.3248409,"103.035694"
69,BNNP BENGKULU,BNN56,56,PROV3,D,17,-3.5778471,"102.3463875"
72,BNNP LAMPUNG,BNN71,71,PROV19,D,18,-4.5585849,"105.4068079"
75,BNNK KOTA METRO,BNN74,74,PROV19,D,18,-5.1166667,"105.3"
76,BNNK KAB LAMPUNG TIMUR,BNN75,75,PROV19,D,18,-5.1134995,"105.6881788"
77,BNNK KAB WAY KANAN,BNN76,76,PROV19,D,18,-4.4963689,"104.5655273"
74,BNNK KAB LAMPUNG SELATAN,BNN72,72,PROV19,D,18,-5.5622614,"105.5474373"
73,BNNK KAB TANGGAMUS,BNN73,73,PROV19,D,18,-5.3027489,"104.5655273"
82,BNNK KAB BANGKA SELATAN,BNN 85,85,PROV17,D,19,-2.2884782,"106.0640179"
79,BNNK KAB BANGKA,BNN84,84,PROV17,D,19,-2.2884782,"106.0640179"
80,BNNK KOTA PANGKAL PINANG,BNN83,83,PROV17,D,19,-2.129323,"106.109596"
78,BNNP KAPULAUAN BANGKA BELITUNG,BNN81,81,PROV17,D,19,-2.7410513,"106.4405872"
81,BNNK KAB BELITUNG,BNN82,82,PROV17,D,19,-2.8708938,"107.9531836"
83,BNNP KEPULAUAN RIAU,BNN77,77,PROV18,D,21,"3.9456514","108.1428669"
85,BNNK KOTA BATAM,BNN80,80,PROV18,D,21,"1.0456264","104.0304535"
86,BNNK KOTA TANJUNGPINANG,BNN 78,78,PROV18,D,21,"0.9179205","104.446464"
84,BNNK KAB KARIMUN,BNN79,79,PROV18,D,21,"1.05","103.3666667"
94,BNNK KOTA JAKARTA TIMUR,BNN89,89,PROV6,D,31,-6.211544,"106.845172"
92,BNNK KOTA JAKARTA SELATAN,BNN87,87,PROV6,D,31,-6.332973,"106.807915"
91,BNNP DKI JAKARTA,BNN86,86,PROV6,D,31,-6.211544,"106.845172"
93,BNNK KOTA JAKARTA UTARA,BNN88,88,PROV6,D,31,-6.211544,"106.845172"
96,BNNK KAB BOGOR,BNN91,91,PROV9,D,32,-6.6,"106.8"
97,BNNK KAB CIANJUR,BNN92,92,PROV9,D,32,-6.8172531,"107.1307289"
99,BNNK KAB CIREBON,BNN100,100,PROV9,D,32,-6.715534,"108.564003"
100,BNNK KOTA CIMAHI,BNN99,99,PROV9,D,32,-6.880239,"107.5355"
101,BNNK KAB SUKABUMI,BNN101,101,PROV9,D,32,-6.92405,"106.922203"
103,BNNK KAB KUNINGAN,BNN96,96,PROV9,D,32,-6.9833333,"108.4833333"
104,BNNK KAB CIAMIS,BNN93,93,PROV9,D,32,-7.3333333,"108.35"
105,BNNK KOTA DEPOK,BNN97,97,PROV9,D,32,-6.39,"106.83"
109,BNNK KAB SUMEDANG,BNN104,104,PROV9,D,32,"0.6095949","110.0330554"
95,BNNP JAWA BARAT,BNN90,90,PROV9,D,32,-7.090911,"107.668887"
98,BNNK KOTA BANDUNG,BNN 98,98,PROV9,D,32,-6.9147444,"107.6098111"
102,BNNK KAB GARUT,BNN94,94,PROV9,D,32,-7.227906,"107.908699"
106,BNNK KAB KARAWANG,BNN95,95,PROV9,D,32,-6.3227303,"107.3375791"
107,BNNK KAB BANDUNG BARAT,BNN103,103,PROV9,D,32,-6.8937121,"107.4321959"
108,BNNK KOTA TASIK MALAYA,BNN102,102,PROV9,D,32,-7.327954,"108.214104"
116,BNNK KAB BATANG,BNN110,110,PROV10,D,33,-6.8941111,"109.7234519"
112,BNNK KOTA TEGAL,BNN116,116,PROV10,D,33,-6.8666667,"109.1333333"
114,BNNK KAB CILACAP,BNN111,111,PROV10,D,33,-7.733333,"109"
115,BNNK KAB KENDAL,BNN112,112,PROV10,D,33,-6.919686,"110.205597"
117,BNNK KAB PURBALINGGA,BNN113,113,PROV10,D,33,-7.390747,"109.3638"
118,BNNK KAB MAGELANG,BNN118,118,PROV10,D,33,-7.481253,"110.213799"
119,BNNK KOTA SURAKARTA,BNN117,117,PROV10,D,33,-7.5666667,"110.8166667"
113,BNNK KAB BANYUMAS,BNN115,115,PROV10,D,33,-7.4832133,"109.140438"
111,BNNK KAB TEMANGGUNG,BNN114,114,PROV10,D,33,-7.316669,"110.174797"
110,BNNP JAWA TENGAH,BNN109,109,PROV10,D,33,-7.150975,"110.1402594"
123,BNNK KAB BANTUL,BNN122,122,PROV5,D,34,-7.8846111,"110.3341111"
120,BNNP DAERAH ISTIMEWA YOGYAKARTA,BNN119,119,PROV5,D,34,-7.8753849,"110.4262088"
122,BNNK KOTA YOGYAKARTA,BNN121,121,PROV5,D,34,-7.797224,"110.368797"
121,BNNK KAB SLEMAN,BNN120,120,PROV5,D,34,-7.716165,"110.335403"
132,BNNK KOTA SURABAYA,BNN136,136,PROV11,D,35,-7.289166,"112.734398"
133,BNNK KOTA KEDIRI,BNN126,126,PROV11,D,35,-7.816895,"112.011398"
141,BNNK KAB KEDIRI,BNN134,134,PROV11,D,35,-7.809356,"112.032356"
140,BNNK KAB TUBAN,BNN140,140,PROV11,D,35,-8.7493146,"115.1711298"
139,BNNK KAB PASURUAN,BNN139,139,PROV11,D,35,-6.8623098,"108.8001936"
138,BNNK KAB BLITAR,BNN124,124,PROV11,D,35,-8.1014419,"112.162762"
137,BNNK KAB LUMAJANG,BNN127,127,PROV11,D,35,-8.137022,"113.226601"
136,BNNK KAB TRENGGALEK,BNN131,131,PROV11,D,35,-8.05,"111.7166667"
135,BNNK KAB GRESIK,BNN125,125,PROV11,D,35,-7.15665,"112.6555"
134,BNNK KAB MALANG,BNN128,128,PROV11,D,35,-8.0495643,"112.6884549"
128,BNNK KOTA BATU,BNN133,133,PROV11,D,35,-7.8671,"112.5239"
124,BNNP JAWA TIMUR,BNN123,123,PROV11,D,35,-7.5360639,"112.2384017"
125,BNNK KAB SUMENEP,BNN138,138,PROV11,D,35,-6.9253999,"113.9060624"
126,BNNK KOTA MOJOKERTO,BNN137,137,PROV11,D,35,-7.4722222,"112.4336111"
127,BNNK KOTA MALANG,BNN135,135,PROV11,D,35,-7.981894,"112.626503"
129,BNNK KAB TULUNGAGUNG,BNN132,132,PROV11,D,35,-8.0666667,"111.9"
130,BNNK KAB NGANJUK,BNN129,129,PROV11,D,35,-7.602932,"111.901808"
131,BNNK KAB SIDOARJO,BNN130,130,PROV11,D,35,-7.4530278,"112.7173389"
90,BNNK KOTA TANGERANG,BNN108,108,PROV2,D,36,-6.1783056,"106.6318889"
87,BNNP BANTEN,BNN105,105,PROV2,D,36,-6.4058172,"106.0640179"
89,BNNK KOTA CILEGON,BNN107,107,PROV2,D,36,-6.0169825,"106.040506"
88,BNNK KOTA TANGERANG SELATAN,BNN106,106,PROV2,D,36,-6.2888889,"106.7180556"
144,BNNK KAB GIANYAR,BNN200,200,PROV1,D,51,-8.544185,"115.3255"
147,BNNK KAB KLUNGKUNG,BNN203,203,PROV1,D,51,-8.5389222,"115.4045111"
148,BNNK KARANGASEM,BNN201,201,PROV1,D,51,-6.3996057,"108.0503042"
143,BNNK KOTA DENPASAR,BNN199,199,PROV1,D,51,-8.65629,"115.222099"
146,BNNK KAB BULELENG,BNN202,202,PROV1,D,51,-8.113831,"115.126999"
145,BNNK KAB BANDUNG,BNN198,198,PROV1,D,51,-8.5819296,"115.1770586"
142,BNNP BALI,BNN197,197,PROV1,D,51,-8.4095178,"115.188916"
152,BNNK KAB SUMBAWA BARAT,BNN206,206,PROV22,D,52,-8.9292907,"116.8910342"
149,BNNP NUSA TENGGARA BARAT,BNN204,204,PROV22,D,52,-8.6529334,"117.3616476"
153,BNNK KAB SUMBAWA,BNN208,208,PROV22,D,52,-8.6529334,"117.3616476"
151,BNNK KOTA MATARAM,BNN205,205,PROV22,D,52,-8.5833333,"116.1166667"
150,BNNK KAB BIMA,BNN207,207,PROV22,D,52,-8.460566,"118.727402"
155,BNNK KAB BELU,BNN212,212,PROV23,D,53,-9.4125796,"124.9506625"
156,BNNK KOTA KUPANG,BNN210,210,PROV23,D,53,-10.1833333,"123.5833333"
157,BNNK KAB ROTE NDAO,BNN211,211,PROV23,D,53,-10.7386421,"123.1239049"
154,BNNP NUSA TENGGARA TIMUR,BNN209,209,PROV23,D,53,-8.6573819,"121.0793705"
159,BNNK KAB BENGKAYANG,BNN152,152,PROV12,D,61,"0.8209729","109.477699"
158,BNNP KALIMANTAN BARAT,BNN147,147,PROV12,D,61,-0.2787808,"111.4752851"
160,BNNK KAB SINTANG,BNN153,153,PROV12,D,61,"0.080238","111.495499"
161,BNNK KOTA PONTIANAK,BNN150,150,PROV12,D,61,-0.022523,"109.330307"
162,BNNK KOTA SENGKAWANG,BNN151,151,PROV12,D,61,"0.908795","108.984596"
163,BNNK KAB SANGGAU,BNN149,149,PROV12,D,61,"0.119275","110.597298"
164,BNNK KAB MEMPAWAH,BNN148,148,PROV12,D,61,"0.3897","109.1404"
165,BNNK KAB KUBU RAYA,BNN154,154,PROV12,D,61,-0.3533938,"109.4735066"
166,BNNP KALIMANTAN TENGAH,BNN144,144,PROV14,D,62,-1.6814878,"113.3823545"
167,BNNK KOTA PALANGKARAYA,BNN145,145,PROV14,D,62,"2.2161","113.9140"
168,BNNK KAB KOTAWARINGIN BARAT,BNN146,146,PROV14,D,62,-6.1961131,"106.8630174"
173,BNNK KAB BALANGAN,BNN156,156,PROV13,D,63,-2.3260425,"115.6154732"
171,BNNK KOTA BANJARMASIN,BNN158,158,PROV13,D,63,-3.328499,"114.589203"
170,BNNK KAB BARITO KUALA,BNN159,159,PROV13,D,63,-3.0714738,"114.6667939"
177,BNNK KAB HULU SUNGAI UTARA,BNN162,162,PROV13,D,63,-2.4421225,"115.188916"
172,BNNK KOTA BANJAR BARU,BNN157,157,PROV13,D,63,-3.4666667,"114.75"
169,BNNP KALIMANTAN SELATAN,BNN155,155,PROV13,D,63,-3.0926415,"115.2837585"
176,BNNK KAB TABALONG,BNN163,163,PROV13,D,63,-1.864302,"115.5681084"
175,BNNK KAB TANAH LAUT,BNN161,161,PROV13,D,63,-3.7694047,"114.8092691"
174,BNNK KAB HULU SUNGAI SELATAN,BNN160,160,PROV13,D,63,-2.7662681,"115.2363408"
181,BNN BOTANG,BNN167,167,PROV15,D,64,"0.1333333","117.5"
179,BNNK KOTA BALIKPAPAN,BNN165,165,PROV15,D,64,-1.2635389,"116.8278833"
180,BNNK KAB SAMARINDA,BNN166,166,PROV15,D,64,-0.502183,"117.153801"
178,BNNP KALIMANTAN TIMUR,BNN164,164,PROV15,D,64,"1.6406296","116.419389"
184,BNNK KAB NUNUKAN,BNN143,143,PROV16,D,65,"4.0609227","117.666952"
182,BNNP KALIMANTAN UTARA,BNN141,141,PROV16,D,65,"3.0731","116.0414"
183,BNNK KOTA TARAKAN,BNN142,142,PROV16,D,65,"3.3274","117.5785"
187,BNNK KOTA BITUNG,BNN170,170,PROV31,D,71,"1.4553529","125.204697"
188,BNNK KAB MANADO,BNN169,169,PROV31,D,71,"1.4917014","124.842843"
186,BNNK KAB BLAANG MONGONDOW,BNN171,171,PROV31,D,71,"0.6870994","124.0641419"
185,BNNP SULAWASI UTARA,BNN168,168,PROV31,D,71,"0.6246932","123.9750018"
189,BNNK KAB KEPULAUAN SANGIHE,BNN172,172,PROV31,D,71,"3.5303212","125.5438967"
191,BNNK KAB BANGGAI KEPULAUAN,BNN189,189,PROV29,D,72,-1.6408137,"123.5504076"
196,BNNK KAB TOJO UNA UNA,BNN188,188,PROV29,D,72,-1.098757,"121.5370003"
195,BNNK KAB POSO,BNN186,186,PROV29,D,72,-1.391922,"120.766998"
193,BNNK KOTA PALU,BNN187,187,PROV29,D,72,-0.898583,"119.850601"
190,BNNP SULAWESI TENGAH,BNN183,183,PROV29,D,72,-1.4300254,"121.4456179"
192,BNNK KAB MOROWALI,BNN185,185,PROV29,D,72,-2.3003072,"121.5370003"
194,BNNK KAB DONGGALA,BNN184,184,PROV29,D,72,-0.4233155,"119.8352303"
199,BNNK KAB BONE,BNN182,182,PROV28,D,73,-2.083333,"120.216667"
198,BNNK KAB TANA TORAJA,BNN181,181,PROV28,D,73,-3.0753003,"119.742604"
200,BNNK KOTA PALOPO,BNN180,180,PROV28,D,73,-3,"120.2"
197,BNNP SULAWESI SELATAN,BNN179,179,PROV28,D,73,-3.6687994,"119.9740534"
201,BNNP SULAWESI TENGGARA,BNN190,190,PROV30,D,74,-4.14491,"122.174605"
203,BNNK KAB KOLAKA,BNN 192,192,PROV30,D,74,-4.049665,"121.593803"
202,BNNK KAB MUNA,BNN193,193,PROV30,D,74,-4.901629,"122.6277455"
205,BNNK KOTA BAUBAU,BNN194,194,PROV30,D,74,-5.46667,"122.633"
204,BNNK KOTA KENDARI,BNN191,191,PROV30,D,74,-3.972201,"122.5149028"
206,BNNP SULAWESI BARAT,BNN195,195,PROV27,D,75,-2.8441371,"119.2320784"
207,BNN POLEWALI MANDAR,,196,PROV27,D,75,-3.3419323,"119.1390642"
223,BNNK KAB MIMIKA,BNN222,222,PROV24,D,76,-4.4553223,"137.1362125"
222,BNNP PAPUA,BNN220,220,PROV24,D,76,-4.269928,"138.0803529"
221,BNNP PAPUA BARAT,BNN223,223,PROV25,D,76,-1.3361154,"133.1747162"
220,BNNK KAB HALMAHERA UTARA,BNN218,218,PROV21,D,76,"1.3121235","128.4849923"
219,BNNK KOTA TIDORE KEPULAUAN,BNN217,217,PROV21,D,76,"0.6833333","127.4"
214,BNNP MALUKU,BNN213,213,PROV20,D,76,-3.2384616,"130.1452734"
215,BNNK KAB BURU SELATAN,BNN215,215,PROV20,D,76,-3.3927754,"126.7819505"
216,BNNK KOTA TUAL,BNN214,214,PROV20,D,76,-5.640851,"132.7475093"
217,BNNP MALUKU UTARA,BNN216,216,PROV21,D,76,"1.5709993","127.8087693"
218,BNNK KAB PULAU MOROTAI,BNN219,219,PROV21,D,76,"2.3656672","128.4008357"
213,BNNK KAB GORONTALO UTARA,BNN178,178,PROV7,D,76,"0.9252647","122.4920088"
211,BNNK KAB BONE BOLANGO,BNN175,175,PROV7,D,76,"0.5657885","123.3486147"
208,BNNP GORONTALO,BNN173,173,PROV7,D,76,"0.6999372","122.4467238"
209,BNNK KAB BOALEMO,BNN176,176,PROV7,D,76,"0.5657885","123.3486147"
210,BNNK KOTA GORONTALO,BNN174,174,PROV7,D,76,"0.5333333","123.0666667"
212,BNNK KAB GORONTALO,BNN177,177,PROV7,D,76,"0.5333333","123.0666667"
224,BNNK KAB JAYAPURA,BNN221,221,PROV24,D,76,-2.533,"140.717"
